Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Rotation_X,Rotation_Y,Rotation_Z,Raycast_1,Raycast_2,Raycast_3,Raycast_4,Raycast_5,Raycast_6,Raycast_7,Raycast_8,Score,Pedal,Steering
-76,1.4,32,0,0,0,0,180,0,16.12,47.67268,11.53736,47.71456,100,29.67393,20.98263,29.67392,0,0,0
-76,1.388472,32,0,-0.5762085,0,1.067217E-06,180,1.131834E-07,16.12,47.67268,11.53732,47.71456,100,29.67393,20.98263,29.67392,0,1,0
-75.99998,1.379204,31.99204,6.780363E-10,-0.4630805,-0.3528,0.04547598,179.9046,-8.690092E-05,16.12865,47.5935,11.53997,47.79702,100,29.62468,20.98267,29.72345,0,1,0
-75.99989,1.380604,31.95433,0.0006103212,0.07124112,-1.757817,0.17469,179.8257,0.003190784,16.1287,47.52811,11.53926,47.86466,100,29.5842,20.98284,29.76478,0,1,0
-75.99973,1.388549,31.88942,0.003653938,0.3984994,-3.136616,0.2850566,179.7598,0.006550887,16.12172,47.47369,11.53599,47.92024,100,29.55069,20.98309,29.79949,0,1,0
-75.99953,1.393515,31.79933,0.008591209,0.2485242,-4.487235,0.3026136,179.7044,0.006847118,16.1092,47.42793,11.53103,47.96609,100,29.52266,20.98338,29.82889,0,1,0
-75.99927,1.393432,31.69838,0.01220952,-0.004904318,-5.104811,0.2439225,179.6589,0.007135462,16.10515,47.39038,11.52743,48.00292,100,29.49988,20.98373,29.8532,0,1,0
-75.99895,1.387995,31.5864,0.01649355,-0.273043,-5.709611,0.1308753,179.6214,0.007185126,16.10914,47.35932,11.52186,48.03239,100,29.48128,20.98414,29.87343,0,1,0
-75.99846,1.38327,31.44732,0.02545162,-0.2367497,-7.007975,0.07599063,179.5889,0.005921629,16.10483,47.33211,11.51135,48.05658,100,29.46545,20.98471,29.89133,0,1,0
-75.99776,1.384216,31.28108,0.0352449,0.04762364,-8.280113,0.1084329,179.5604,0.00516057,16.09197,47.30792,11.49688,48.07621,100,29.45197,20.98548,29.90744,0,1,0
-75.99684,1.388531,31.08913,0.04572172,0.2164378,-9.527079,0.1795641,179.535,0.004622162,16.07184,47.28602,11.47872,48.09199,100,29.44044,20.98648,29.9222,0,1,0
-75.99572,1.391018,30.87319,0.05674601,0.1248692,-10.74922,0.2282164,179.5122,0.003489395,16.04569,47.26594,11.46126,48.1046,100,29.43049,20.98767,29.93591,0,1,0
-75.99438,1.389498,30.63421,0.06823257,-0.07591856,-11.94688,0.230236,179.4914,0.001999598,16.01384,47.24719,11.46461,48.11448,100,29.42187,20.98908,29.94889,0,1,0
-75.99278,1.386348,30.37231,0.08013242,-0.1578188,-13.12107,0.2038278,179.4722,0.001321713,15.97584,47.22943,11.47881,48.12192,100,29.41443,20.99074,29.96138,0,1,0
-75.99092,1.385103,30.08734,0.09238667,-0.06254028,-14.27215,0.1796471,179.4544,0.002171675,15.93124,47.21241,11.49019,48.12712,100,29.40807,20.99266,29.97353,0,1,0
-75.98879,1.386644,29.77948,0.1049262,0.07695188,-15.40008,0.1720861,179.4377,0.003936409,15.8801,47.1959,11.51763,48.13036,100,29.40262,20.99485,29.9855,0,1,0
-75.98641,1.388874,29.44931,0.1176743,0.1115451,-16.50504,0.1755804,179.4218,0.005248641,15.82287,47.17976,11.49818,48.13186,100,29.39797,20.99729,29.99738,0,1,0
-75.9838,1.389442,29.09748,0.1305718,0.02848996,-17.58757,0.1795855,179.4066,0.005260778,15.7599,47.16383,11.47081,48.13179,100,29.394,20.99996,30.00924,0,1,0
-75.98094,1.388139,28.72448,0.1436081,-0.06513222,-18.64845,0.1811528,179.3919,0.004292197,15.69122,47.14801,11.44107,48.13033,100,29.39062,21.00287,30.02116,0,1,0
-75.97782,1.386642,28.33066,0.156794,-0.07484914,-19.68838,0.1838268,179.3777,0.003318977,15.61671,47.13219,11.4088,48.1275,100,29.38785,21.00605,30.03324,0,1,0
