Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Rotation_X,Rotation_Y,Rotation_Z,Raycast_1,Raycast_2,Raycast_3,Raycast_4,Raycast_5,Raycast_6,Raycast_7,Raycast_8,Score,Pedal,Steering
-76,1.4,32,0,0,0,0,180,0,16.12,47.67268,11.53736,47.71456,100,29.67393,20.98263,29.67392,0,0,0
-76,1.388473,32,0,-0.5762085,0,1.28066E-06,180,9.973893E-08,16.12,47.67268,11.53732,47.71456,100,29.67393,20.98263,29.67392,0,0,0
-75.99995,1.379206,31.99948,1.179865E-09,-0.4631419,-1.514962E-08,0.02658694,180,0.002259823,16.13603,47.67265,11.53822,47.71444,100,29.67401,20.98268,29.67396,0,1,0
-75.9999,1.380687,31.99108,2.938558E-05,0.07459184,-0.3533126,0.09383005,179.9047,0.004184977,16.16517,47.59346,11.54153,47.7968,100,29.62485,20.98276,29.72352,0,1,0
-75.99982,1.3889,31.95371,0.0006382106,0.4117802,-1.758944,0.2046197,179.8258,0.006313832,16.18548,47.5281,11.54222,47.86448,100,29.58434,20.9829,29.76482,0,1,0
-75.99974,1.39398,31.88979,0.003572853,0.2547088,-3.136488,0.2649066,179.7598,0.005884455,16.19892,47.4737,11.54097,47.92027,100,29.55067,20.98307,29.79947,0,1,0
-75.99961,1.393401,31.81445,0.006369054,-0.02915003,-3.780728,0.250478,179.706,0.005643818,16.2203,47.42937,11.54073,47.96523,100,29.52337,20.9833,29.82792,0,1,0
-75.9994,1.387741,31.72782,0.009975396,-0.2839243,-4.412106,0.1685295,179.6618,0.005663679,16.24941,47.39294,11.53891,48.00138,100,29.50116,20.98359,29.85147,0,1,0
-75.99906,1.382719,31.61422,0.01780066,-0.2516655,-5.736814,0.1106303,179.6239,0.004932718,16.27038,47.36147,11.53248,48.03117,100,29.48236,20.98402,29.87197,0,1,0
-75.99852,1.383867,31.47326,0.02665773,0.05753012,-7.034947,0.1236827,179.591,0.005004202,16.28263,47.33392,11.52294,48.0555,100,29.46644,20.98464,29.89012,0,1,0
-75.99778,1.388646,31.30613,0.03635322,0.2394661,-8.30705,0.1738831,179.5622,0.005150876,16.28715,47.30943,11.51049,48.07528,100,29.45288,20.98546,29.90644,0,1,0
-75.99686,1.391415,31.11433,0.04671121,0.1388362,-9.553523,0.2106692,179.5366,0.004260791,16.28499,47.28732,11.49392,48.09132,100,29.44121,20.98646,29.92134,0,1,0
-75.99573,1.389789,30.89878,0.05762584,-0.08124345,-10.77492,0.2129261,179.5135,0.002572476,16.27645,47.26703,11.47123,48.10413,100,29.43115,20.98766,29.93519,0,1,0
-75.99437,1.386324,30.65968,0.06904151,-0.1734619,-11.97236,0.195394,179.4926,0.001491042,16.26113,47.24812,11.448,48.11413,100,29.42247,20.98908,29.94828,0,1,0
-75.99274,1.384876,30.39701,0.08089028,-0.07254057,-13.14635,0.1820753,179.4733,0.002000374,16.23872,47.23023,11.44389,48.12159,100,29.41504,20.99078,29.96087,0,1,0
-75.99084,1.386467,30.11109,0.09309195,0.07952601,-14.29687,0.1813125,179.4554,0.00362474,16.2094,47.2131,11.45196,48.1268,100,29.40867,20.99273,29.97311,0,1,0
-75.9887,1.388877,29.80254,0.1055579,0.1205283,-15.42402,0.1849203,179.4386,0.004973216,16.17367,47.19651,11.45849,48.13006,100,29.40321,20.99494,29.98514,0,1,0
-75.98633,1.389554,29.47199,0.1182154,0.03385925,-16.52825,0.183897,179.4226,0.005102879,16.13189,47.18031,11.46673,48.13162,100,29.39851,20.99737,29.99705,0,1,0
-75.98372,1.388216,29.11987,0.131043,-0.06694791,-17.61033,0.1793685,179.4074,0.004256906,16.08398,47.16433,11.4767,48.13163,100,29.39448,21.00003,30.00894,0,1,0
-75.98085,1.386625,28.74646,0.1440451,-0.07956579,-18.671,0.1786253,179.3926,0.003384131,16.02979,47.14846,11.44735,48.13017,100,29.39111,21.00296,30.02091,0,1,0
