Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Rotation_X,Rotation_Y,Rotation_Z,Raycast_1,Raycast_2,Raycast_3,Raycast_4,Raycast_5,Raycast_6,Raycast_7,Raycast_8,Score
-76,2,32,0,0,0,0,180,0,17,48,12,48,100,30,21,30,0
-76,2,32,0,0,0,1,180,1,17,48,12,48,100,30,21,30,0
-75,2,32,1,0,0,1,181,1,17,48,12,48,100,30,21,30,0
-75,2,32,1,1,0,1,181,1,17,48,12,48,100,30,21,30,0
-75,2,32,1,1,0,1,181,1,17,48,12,48,100,30,21,30,0
-75,2,32,1,1,-1,1,180,1,17,48,12,48,100,30,21,30,0
-75,2,32,0,0,-2,1,180,1,17,48,12,48,100,30,21,30,0
-75,2,32,0,0,-4,1,180,1,17,48,12,48,100,30,21,30,0
-76,2,32,0,0,-5,1,180,0,17,48,12,48,100,30,21,30,0
-75,2,32,1,1,-6,1,180,1,17,48,12,48,100,30,21,30,0
-75,2,32,1,1,-8,1,180,1,17,48,12,48,100,30,21,30,0
-75,2,32,1,1,-9,1,180,1,17,48,12,48,100,30,21,30,0
-75,2,32,1,0,-10,1,180,1,17,48,12,48,100,30,21,30,0
-75,2,31,1,0,-11,1,180,1,17,48,12,48,100,30,21,30,0
-75,2,31,1,0,-12,1,180,1,17,48,12,48,100,30,21,30,0
-75,2,31,1,1,-14,1,180,1,17,48,12,48,100,30,21,30,0
-75,2,30,1,1,-15,1,180,1,17,48,12,48,100,30,21,30,0
-75,2,30,1,1,-16,1,180,1,17,48,12,48,100,30,21,30,0
-75,2,30,1,0,-17,1,180,1,17,48,12,48,100,30,21,30,0
-75,2,29,1,0,-18,1,180,1,16,48,12,48,100,30,21,30,0
-75,2,29,1,1,-19,1,180,1,16,48,12,48,100,30,21,30,0
-75,2,29,1,1,-20,1,180,1,16,21,12,48,100,30,21,30,0
-75,2,28,1,1,-21,1,180,1,16,21,12,48,100,30,21,30,0
-75,2,28,1,0,-22,1,180,1,16,20,12,48,100,30,21,30,0
-75,2,27,1,0,-23,1,180,1,16,20,12,48,100,30,21,30,0
-75,2,27,1,0,-24,1,180,1,16,20,12,48,100,30,21,30,0
-75,2,26,1,1,-25,1,180,1,16,19,12,48,100,30,21,30,0
-75,2,26,1,1,-26,1,180,1,16,19,12,48,100,30,21,30,0
-75,2,25,1,1,-27,1,180,1,16,19,12,48,100,30,21,30,0
-75,2,25,1,0,-28,1,180,1,16,18,12,48,100,30,21,30,0
-75,2,24,1,0,-28,1,180,1,15,18,14,48,100,30,21,30,0
-75,2,23,1,0,-29,1,180,1,15,18,34,48,100,30,21,30,0
-75,2,23,1,1,-30,1,180,1,15,17,34,48,100,30,21,30,0
-75,2,22,1,1,-31,1,180,1,15,17,34,48,100,30,21,30,0
-75,2,22,1,1,-32,1,180,1,15,17,34,48,100,30,22,30,0
-75,2,21,1,0,-32,1,180,1,15,17,34,48,100,30,22,30,0
-75,2,20,1,0,-33,1,180,1,15,17,34,48,100,30,22,30,0
-75,2,20,1,1,-34,1,181,1,14,16,34,48,100,30,22,30,0
-75,2,19,1,1,-35,1,181,1,14,16,34,48,100,30,22,30,0
-75,2,18,1,1,-35,1,181,1,14,16,34,48,100,31,22,30,0
-75,2,17,1,0,-36,1,182,1,14,16,34,47,100,31,22,30,0
-75,2,17,1,0,-37,1,182,1,14,16,34,47,100,31,22,29,0
-75,2,16,0,0,-37,1,182,1,14,16,34,47,100,31,22,29,0
-75,2,15,0,1,-38,1,183,1,13,16,34,46,100,31,22,29,0
-75,2,14,0,1,-39,1,183,1,13,16,34,46,100,32,22,29,0
-75,2,14,0,1,-39,1,183,0,13,16,34,46,100,32,22,29,0
-75,2,13,0,0,-40,1,184,360,13,16,34,15,100,32,22,29,0
-75,2,12,0,0,-41,1,184,360,13,16,34,15,100,32,22,29,0
-76,2,11,0,0,-41,1,184,360,13,16,34,15,100,32,22,29,0
-76,2,10,0,1,-42,1,184,1,12,16,34,15,100,32,22,28,0
-76,2,9,0,1,-42,1,184,1,12,15,34,15,100,32,21,28,0
-76,2,9,0,0,-43,1,184,1,12,15,34,15,100,32,21,28,0
-76,2,8,0,0,-43,1,184,1,12,15,34,14,100,32,21,28,0
-76,2,7,0,0,-44,1,184,1,12,15,34,14,100,32,21,28,0
-76,2,6,-1,1,-44,1,184,1,11,15,34,14,100,32,21,28,0
-76,2,5,-1,1,-45,1,185,1,11,15,34,14,100,32,21,28,0
-76,2,4,-1,1,-45,1,185,1,11,15,34,14,100,32,21,28,0
-76,2,3,-1,0,-46,1,185,1,11,15,34,14,100,32,21,28,0
-76,2,2,-1,0,-46,1,185,1,10,15,35,14,100,33,21,28,0
-76,2,1,-1,0,-47,1,185,1,10,15,35,14,100,33,21,28,0
-76,2,0,-1,1,-47,1,186,1,10,54,35,13,100,33,21,27,0
-76,2,-1,-1,1,-48,1,186,1,10,54,35,13,100,33,21,27,0
-76,2,-2,-1,0,-48,1,187,1,10,55,35,13,100,34,21,27,0
-76,2,-3,-1,0,-49,1,188,1,100,56,35,14,100,34,21,27,0
-76,2,-4,-2,0,-49,1,188,1,100,57,35,14,100,35,21,26,0
-76,2,-5,-2,0,-49,1,189,1,100,58,35,15,100,35,21,26,0
-76,2,-6,-2,1,-49,1,190,1,100,60,35,16,100,36,21,26,0
-76,2,-7,-2,1,-50,1,191,1,100,61,35,42,100,37,21,25,0
-76,2,-8,-2,1,-50,1,192,1,100,63,36,42,100,37,21,25,0
